card_number,country_code,merchant,amount,mcc
card_248,HKG,Cathay Pacific,593.08,Travel
card_184,FRA,Carrefour,285.71,Groceries
card_400,USA,Walmart,222.28,Groceries
card_141,USA,Panera Bread,183.61,Restaurants
card_20,USA,Airbnb,276.23,Hotels
card_241,USA,Dunkin,55.24,Restaurants
card_196,DEU,Lidl,26.84,Groceries
card_271,USA,Walgreens,866.85,Retail
card_321,USA,Shake Shack,184.32,Restaurants
card_160,FRA,Air France-KLM,1076.71,Travel
card_110,ARE,Emirates,79.85,Travel
card_354,USA,Amazon,48.65,E-commerce
card_229,USA,Panera Bread,251.41,Restaurants
card_360,USA,Saks Fifth Avenue,216.28,Retail
card_290,USA,Taco Bell,62.73,Restaurants
card_117,USA,Google,998.68,Technology
card_439,USA,AMC Theatres,18.69,Streaming
card_111,USA,Verizon,527.13,Telecom
card_251,USA,Kroger,135.26,Groceries
card_362,USA,The Home Depot,294.77,Retail
card_429,USA,Disney,32.53,Streaming
card_168,USA,Regal Cinemas,11.28,Streaming
card_245,USA,Nike,295.68,Retail
card_385,USA,Regal Cinemas,21.49,Streaming
card_29,USA,Williams-Sonoma,458.79,Retail
card_492,USA,United Airlines,1188.51,Travel
card_314,USA,Lululemon,203.68,Retail
card_350,ARE,Emirates,795.64,Travel
card_410,USA,T-Mobile,594.45,Telecom
card_293,USA,Uniqlo,51.22,Retail
card_146,USA,American Airlines,930.94,Travel
card_36,USA,Ford,935.57,Automotive
card_243,USA,Amazon,7.93,E-commerce
card_44,USA,Hyatt,1425.88,Hotels
card_221,USA,InterContinental Hotels,1450.17,Hotels
card_238,USA,eBay,41.38,E-commerce
card_85,USA,Expedia,491.69,Hotels
card_136,USA,Shopify,9.4,E-commerce
card_18,USA,Shopify,35.79,E-commerce
card_56,USA,Tesla,2256.75,Automotive
card_89,USA,American Airlines,226.96,Travel
card_204,USA,Microsoft,2526.37,Technology
card_200,USA,ExxonMobil,35.85,Energy
card_288,SGP,Singapore Airlines,1368.51,Travel
card_174,USA,InterContinental Hotels,425.23,Hotels
card_84,USA,Uniqlo,664.21,Retail
card_405,USA,Saks Fifth Avenue,315.15,Retail
card_482,USA,Burger King,160.82,Restaurants
card_53,FRA,Carrefour,168.55,Groceries
card_151,FRA,Air France-KLM,318.04,Travel
card_122,USA,TJX Companies,969.74,Retail
card_334,USA,Universal Parks,39.88,Streaming
card_394,DEU,Aldi,282.45,Groceries
card_251,GBR,BP,182.12,Energy
card_460,USA,CVS Health,599.91,Retail
card_429,USA,Marriott International,1386.72,Hotels
card_250,USA,Microsoft,533.61,Technology
card_246,DEU,Lufthansa,334.18,Travel
card_250,USA,Zara,50.0,Retail
card_22,USA,Ford,1694.12,Automotive
card_447,USA,Ross Stores,391.73,Retail
card_42,USA,Gap Inc,274.99,Retail
card_289,USA,Disney,42.29,Streaming
card_56,SGP,Singapore Airlines,567.29,Travel
card_73,USA,Regal Cinemas,17.64,Streaming
card_302,USA,Universal Parks,29.42,Streaming
card_177,USA,Walmart,50.87,Groceries
card_224,JPN,Toyota,4030.77,Automotive
card_13,HKG,Cathay Pacific,158.1,Travel
card_372,USA,Microsoft,4935.75,Technology
card_203,USA,Netflix,39.75,Streaming
card_107,USA,Burger King,67.63,Restaurants
card_386,USA,Disney,5.25,Streaming
card_415,USA,Papa Johns,246.48,Restaurants
card_406,USA,Booking.com,1074.94,Hotels
card_169,USA,Williams-Sonoma,730.36,Retail
card_500,USA,Burger King,233.67,Restaurants
card_221,DEU,Lufthansa,157.36,Travel
card_283,USA,Bed Bath & Beyond,361.67,Retail
card_182,USA,Walgreens,120.29,Retail
card_117,USA,Universal Parks,43.84,Streaming
card_244,USA,Burger King,190.76,Restaurants
card_32,USA,Dominos Pizza,105.96,Restaurants
