merchant_name,merchant_cluster_name
Booking.com,Premium Merchants
PayPal,High-Refund Merchants
eBay,High-Risk Merchants
General Motors,Premium Merchants
Saks Fifth Avenue,High-Risk Merchants
Taco Bell,High-Refund Merchants
KFC,High-Risk Merchants
Lowes,Premium Merchants
American Airlines,Standard Merchants
Kohls,High-Refund Merchants
H&M,Standard Merchants
British Airways,Standard Merchants
Disney,High-Refund Merchants
Gap Inc,High-Risk Merchants
United Airlines,Standard Merchants
Google,High-Refund Merchants
Lufthansa,Premium Merchants
InterContinental Hotels,High-Risk Merchants
Wendys,High-Risk Merchants
Cathay Pacific,High-Refund Merchants
Wayfair,High-Risk Merchants
Hyatt,Premium Merchants
The Home Depot,Standard Merchants
Etsy,High-Refund Merchants
TJX Companies,High-Risk Merchants
Papa Johns,Standard Merchants
Aldi,Premium Merchants
Spotify,Premium Merchants
Macys,High-Risk Merchants
Chick-fil-A,High-Risk Merchants
Five Guys,Standard Merchants
Regal Cinemas,Standard Merchants
Nike,Standard Merchants
AT&T,Standard Merchants
Dominos Pizza,High-Risk Merchants
Delta Air Lines,Standard Merchants
Pizza Hut,Standard Merchants
Lululemon,Premium Merchants
Chipotle,High-Risk Merchants
Nordstrom,Standard Merchants
Netflix,High-Refund Merchants
Chevron,Premium Merchants
Panera Bread,High-Risk Merchants
Verizon,Standard Merchants
Bloomingdales,High-Risk Merchants
Shell,Standard Merchants
Apple,High-Risk Merchants
Tesla,Premium Merchants
Trader Joes,Standard Merchants
Tesco,High-Refund Merchants
ExxonMobil,Standard Merchants
Uniqlo,High-Risk Merchants
Bed Bath & Beyond,Premium Merchants
Amazon,High-Refund Merchants
T-Mobile,High-Risk Merchants
CVS Health,High-Refund Merchants
Whole Foods,Standard Merchants
Williams-Sonoma,Standard Merchants
Kroger,High-Risk Merchants
Starbucks,High-Risk Merchants
Safeway,High-Risk Merchants
Adidas,High-Refund Merchants
Zara,Standard Merchants
Comcast,Premium Merchants
Best Buy,Standard Merchants
Dunkin,Premium Merchants
Air France-KLM,Premium Merchants
Expedia,Premium Merchants
Ford,High-Refund Merchants
Uber,High-Refund Merchants
Target,High-Refund Merchants
Shopify,High-Refund Merchants
Shake Shack,High-Risk Merchants
Toyota,High-Risk Merchants
Burger King,High-Refund Merchants
Ross Stores,High-Refund Merchants
Southwest Airlines,Premium Merchants
Universal Parks,High-Risk Merchants
Costco,High-Risk Merchants
Singapore Airlines,High-Risk Merchants
Hilton,High-Refund Merchants
Subway,Standard Merchants
BP,High-Refund Merchants
Ticketmaster,Standard Merchants
Charter Communications,Premium Merchants
Walgreens,Standard Merchants
IKEA,High-Refund Merchants
Marriott International,Standard Merchants
McDonalds,Standard Merchants
Airbnb,Standard Merchants
Carrefour,High-Risk Merchants
Microsoft,Premium Merchants
Emirates,High-Refund Merchants
Walmart,Premium Merchants
Lidl,High-Risk Merchants
Neiman Marcus,High-Risk Merchants
AMC Theatres,High-Risk Merchants
Publix,High-Risk Merchants
